Title                                     , Composer
Bourbon Street Parade                     , Paul Barbarin (c.1950)
Five foot two                             , Ray Henderson / Sam M. Lewis / Joe Young (1925)
Joe Avery                                 , Traditional New Orleans (early 1900s)
Gate mouth                                , Louis Armstrong (composition) - New Orleans Wanderers (1926 recording)
You are my sunshine                       , Jimmie Davis / Charles Mitchell (1939)
I'm walking                               , Fats Domino / Dave Bartholomew (1957)
Oh when the Saints                        , Traditional spiritual (19th c.)
Thin Line                                 , Top Dog Brass Band (2006)
Lily of the valley                        , Traditional (origins unknown 19th-early 20th c.)
Just a little while                       , E.M. Bartlett (1921)
Didn't he Ramble                          , James Weldon Johnson / J. Rosamond Johnson / Bob Cole (1902)
Bellamina                                 , Nassau String Band (1935)
When you're smiling                       , Larry Shay / Mark Fisher / Joe Goodwin (1928)
Whoopin' Blues                            , Traditional (origins unknown 19th-early 20th c.)
Bill Bailey                               , Hughie Cannon (1902)
See See Rider                             , Ma Rainey (1924)
Oh but on the Third Day (Happy Feet Blues), Wynton Marsalis (1989)
Why don't you go down to New Orleans      , Paul Barbarin / Albert 'Papa' French (1950)
Bei mir bist du schön                     , Sholom Secunda / Jacob Jacobs (1932)
Just a closer walk with Thee              , Traditional spiritual (n.d.)
Isle of capri                             , Jimmy Kennedy / Will Grosz (1934)
Dippermouth Blues                         , King Oliver (1923)
Milenberg Joys                            , Leon Roppolo / Paul Mares / Jelly Roll Morton / Walter Melrose (1923)
Little Liza Jane                          , Traditional (origins unknown 19th-early 20th c.)
Down in Honky Tonk Town                   , Chris Smith / Charles R. McCarron (1918)
All the girls                             , Traditional (origins unknown 19th-early 20th c.)
Over in the gloryland                     , James Acuff / Emmett Dean (1906)
Ice cream                                 , Howard Johnson / Billy Moll / Robert King (1927)
